adonis, masculine
adorateur, masculine
ados, masculine
adoucissage, masculine
adoucissement, masculine
adoucisseur, masculine
adrien, masculine
adulateur, masculine
adultérateur, masculine
aède, masculine
aérage, masculine
aérateur, masculine
aérobic, feminine
aéroclub, masculine
aérodrome, masculine
aérodyne, masculine
aéroglisseur, masculine
aérographe, masculine
aérolithe, masculine
aéromètre, masculine
aéromoteur, masculine
aérophone, masculine
aéroplane, masculine
bol, masculine
bombon, masculine
bordel, masculine
boucher, masculine
bouchon, masculine
bouddhisme, masculine
boule, feminine
boulier, masculine
bourdon, masculine
bourg, masculine
bourgeon, masculine
bout, masculine
bouton, masculine
brachyœsophage, masculine
bravo, masculine
bredouillis, masculine
breuvage, masculine
bridge, masculine
brie, masculine
brouhaha, masculine
brouillard, masculine
bruit, masculine
brunissage, masculine
brut, masculine
brûleur, masculine
bureau, masculine
bâbord, masculine
bâtiment, masculine
bâtisseur, masculine
bâton, masculine
bé, masculine
bégaiement, masculine
bélier, masculine
béret, masculine
bétail, masculine
bêta, masculine
bûcheron, masculine
bœuf, masculine
cabas, masculine
cabestan, masculine
cacao, masculine
cachalot, masculine
cache, feminine
cachot, masculine
cadavre, masculine
cadeau, masculine
cadet, masculine
cadran, masculine
cadre, masculine
cadreur, masculine
cafard, masculine
café, masculine
cahier, masculine
caillou, masculine
caisse, feminine
calendrier, masculine
calmar, masculine
calorique, masculine
calot, masculine
camembert, masculine
camion, masculine
camp, masculine
camphre, masculine
campus, masculine
caméléon, masculine
caméo, masculine
canard, masculine
canif, masculine
capitalisme, masculine
capodastre, masculine
carcassonne, feminine
carotte, feminine
carte, feminine
cartomancie, feminine
castration, feminine
catastrophe, feminine
catholicité, feminine
catégorie, feminine
cave, masculine
cavité, feminine
cedilha, feminine
ceinture, feminine
cellule, feminine
cendre, feminine
cephalæe, feminine
chair, feminine
chambre, feminine
chance, feminine
chapelle, feminine
charcuterie, feminine
charge, feminine
charité, feminine
chassie, feminine
chasteté, feminine
chaussette, feminine
chaussure, feminine
chaussée, feminine
chaux, feminine
chaîne, feminine
cheminée, feminine
chemise, feminine
chenille, feminine
chevalerie, feminine
cheville, feminine
chimie, feminine
chimiothérapie, feminine
chirurgie, feminine
chirurgienne, feminine
chorde, feminine
chose, feminine
chouette, feminine
chronologie, feminine
chute, feminine
chèvre, masculine
ciboulette, feminine
cil, masculine
circoncision, feminine
circonférence, feminine
circonstance, feminine
citadelle, feminine
citation, feminine
cithare, feminine
citrouille, feminine
civilisation, feminine
clarté, feminine
classification, feminine
clef, feminine
clinique, feminine
cloison, feminine
clé, feminine
clémence, feminine
coercition, feminine
coexistence, feminine
cohæsion, feminine
cohésion, feminine
collation, feminine
collection, feminine
aimantation, feminine
aimée, feminine
aine, feminine
aînesse, feminine
airelle, feminine
aise, feminine
aissette, feminine
ajoute, feminine
alanine, feminine
alarme, feminine
albanaise, feminine
albane, feminine
albanie, feminine
alberta, feminine
alberte, feminine
albertine, feminine
albite, feminine
albumine, feminine
albuminurie, feminine
alcalinisation, feminine
alcalinité, feminine
alcalisation, feminine
alchimiste, masculine
alcoolisation, feminine
alcoolodépendance, feminine
alcoolyse, feminine
alcôve, feminine
alêne, feminine
alep, masculine
alerte, feminine
aléseuse, feminine
alexandra, masculine
alexandrie, feminine
alexandrine, masculine
alexandrite, feminine
alexia, feminine
alexine, feminine
alexithymie, feminine
alèze, feminine
algarade, feminine
alger, feminine
algérie, feminine
algérienne, feminine
algie, feminine
algine, feminine
algophobie, feminine
algue, feminine
alibilité, feminine
alicia, feminine
alidade, feminine
aliénation, feminine
