,noun,gender,lang
1115,macronisme,m,fr
1117,macrocyte,m,fr
1118,macrocristal,m,fr
1119,macrocellule,m,fr
1120,macrocosme,m,fr
1121,mal-vivant,m,fr
1122,malabar,m,fr
1123,manuel,m,fr
1124,manuscrit,m,fr
1125,manutentionnaire,m,fr
1126,manubrium,m,fr
1127,manteau,m,fr
1128,mantra,m,fr
1129,manquement,m,fr
1130,mansionnaire,m,fr
1131,mantelet,m,fr
1132,mansard,m,fr
1133,maryland,m,fr
1134,mas,m,fr
1135,manouvrier,m,fr
1136,masago,m,fr
1137,mascara,m,fr
1138,m'as-tu-vu,m,fr
1139,martyrologe,m,fr
1140,martyr,m,fr
1141,martinet,m,fr
1142,marxisme,m,fr
1143,merdier,m,fr
1144,merdia,m,fr
1145,merdeux,m,fr
1146,mercure,m,fr
1147,mercredi,m,fr
1148,mercurochrome,m,fr
1149,mercurate,m,fr
1150,meunier,m,fr
1151,merengue,m,fr
1152,meursault,m,fr
1153,meulier,m,fr
1154,meulon,m,fr
1155,meuglement,m,fr
1156,metteur,m,fr
1157,mets,m,fr
1158,meuble,m,fr
1159,minibus,m,fr
1160,minet,m,fr
1161,mineur,m,fr
1162,minestrone,m,fr
1163,mini-short,m,fr
1164,mini-ordinateur,m,fr
1165,metribuzine,m,fr
1166,minerval,m,fr
1167,minarchisme,m,fr
1168,minbar,m,fr
1169,minage,m,fr
1170,minerai,m,fr
1171,mimi,m,fr
1172,mimosa,m,fr
1173,mime,m,fr
1174,mithriacisme,m,fr
1175,monceau,m,fr
1176,monarque,m,fr
1177,monadisme,m,fr
1178,monarchisme,m,fr
1179,moment,m,fr
1180,monachisme,m,fr
1181,momon,m,fr
1182,minaret,m,fr
1183,montreur,m,fr
1184,montoir,m,fr
1185,mozarabe,m,fr
1186,mozabite,m,fr
1187,moyeu,m,fr
1188,moyennage,m,fr
1189,moyen-courrier,m,fr
1190,nadir,m,fr
1191,nabuchodonosorisme,m,fr
1192,nabab,m,fr
1193,nabuchodonosor,m,fr
1194,nabot,m,fr
1195,muscadet,m,fr
1196,n-simplexe,m,fr
1197,n-uple,m,fr
1198,n-uplet,m,fr
1199,n-butane,m,fr
1200,mzoungou,m,fr
1201,necton,m,fr
1202,nectarinier,m,fr
1203,nectar,m,fr
1204,nectaire,m,fr
1205,nickel,m,fr
1206,nickelage,m,fr
1207,nichon,m,fr
1208,nichoir,m,fr
1209,nichrome,m,fr
1210,niais,m,fr
1211,nihilisme,m,fr
1212,nibard,m,fr
1213,non-moi,m,fr
1214,non-dit,m,fr
1215,non-lieu,m,fr
1216,non-paiement,m,fr
1217,non-fumeur,m,fr
1218,non-alignement,m,fr
1219,non-conformiste,m,fr
1220,non-combattant,m,fr
1221,non-conformisme,m,fr
1222,nommage,m,fr
1223,nominateur,m,fr
1224,nomogramme,m,fr
1225,non,m,fr
1226,nominalisme,m,fr
1227,nominatif,m,fr
1228,neck,m,fr
1229,obus,m,fr
1230,nominal,m,fr
1231,obturateur,m,fr
1232,obstacle,m,fr
1233,non-sens,m,fr
1234,obstructionnisme,m,fr
1235,observateur,m,fr
1236,obtenteur,m,fr
1237,observatoire,m,fr
1238,obscurantisme,m,fr
1239,objet,m,fr
1240,objectivisme,m,fr
1241,oblat,m,fr
1242,objectif,m,fr
1243,okroug,m,fr
1244,oisillonne,m,fr
1245,okapi,m,fr
1246,oison,m,fr
